Date	Description	Shop	Amount	Memo	Executed Date	ConvertDeposited	Deposit Date	Executed By
08/04/2025	Opening Balance	Trading	450		08/04/25 10:25:46			
08/04/2025	Opening Balance	Sushi	1840		08/04/25 10:27:30			
08/04/2025	Openign Balance	Meat	35		08/04/25 10:28:11			
08/04/2025	Opening Balance	Sandwich	1000		08/04/25 10:28:58			
08/04/25	Cash Sales	Meat	5200	31/3, 1/4, 3/4, 4/4 are merged on 3/4 envelope	08/04/25 10:34:34			
08/04/25	Cash Sales	Sandwich	4170		08/04/25 10:43:55			
08/04/25	Cash Sales	Sushi	6520		08/04/25 10:55:09			
08/04/2025	Note Change	Meat	-310		08/04/25 11:02:49			
08/04/2025	Note Change Adjustment	Meat	10		08/04/25 11:03:52			
08/04/2025	Note Change	Trading	-50		08/04/25 11:04:39			
08/04/2025	Note change	Meat	300		08/04/25 11:07:23			
08/04/2025	Note Change	Trading	50		08/04/25 11:07:41			
08/04/25	CVT. From Meat	Sandwich	515		08/04/25 11:34:40	515		
08/04/25	CVT. To Sandwich	Meat	-515		08/04/25 11:34:40			
08/04/2025	Cash Wage	Sandwich	-5685		08/04/2025			peter.kang@eatem.com.au
08/04/2025	Cash Wage	Sushi	-6415		08/04/2025 11:46:16			peter.kang@eatem.com.au
08/04/2025	Cash Wage	CK	-112.5		08/04/2025 11:49:02			peter.kang@eatem.com.au
08/04/2025	Cash Wage	Meat	-2325		08/04/2025 11:59:16			peter.kang@eatem.com.au
08/04/25	CVT. From Sushi	Sandwich	100		08/04/25 12:01:19	100		
08/04/25	CVT. To Sandwich	Sushi	-100		08/04/25 12:01:19			
08/04/2025	Cash Wage	Sandwich	-100		08/04/2025 12:01:24			peter.kang@eatem.com.au
08/04/2025	Cash Wage	HO	-1700		08/04/2025 12:21:15			peter.kang@eatem.com.au
08/04/25	CVT. From Sushi	Sandwich	567		08/04/25 12:22:42	567		
08/04/25	CVT. To Sandwich	Sushi	-567		08/04/25 12:22:42			
08/04/25	CVT. From Sushi	HO	567		08/04/25 12:43:01			
08/04/25	CVT. To HO	Sushi	-567		08/04/25 12:43:01			
08/04/25	CVT. From Sandwich	HO	567		08/04/25 12:43:01			
08/04/25	CVT. To HO	Sandwich	-567		08/04/25 12:43:01			
08/04/25	CVT. From Meat	HO	567		08/04/25 12:43:01			
08/04/25	CVT. To HO	Meat	-567		08/04/25 12:43:01			
08/04/2025	Karma Overpaid last week	Sandwich	248		08/04/25 13:24:09			
